YEAR,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2016,Total Electric Power Industry,Wind,"4,695,783"
2016,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,522,489"
2016,"Combined Heat and Power, Industrial Power",Total,"1,287,397"
2016,"Combined Heat and Power, Industrial Power",Coal,"78,402"
2016,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"25,555"
2016,"Combined Heat and Power, Industrial Power",Natural Gas,"315,232"
2016,"Combined Heat and Power, Industrial Power",Other,"19,497"
2016,"Combined Heat and Power, Industrial Power",Petroleum,"145,220"
2016,"Combined Heat and Power, Industrial Power",Other Biomass,"2,466"
2016,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"701,026"
2016,"Combined Heat and Power, Commercial Power",Total,"881,083"
2016,"Combined Heat and Power, Commercial Power",Coal,"15,394"
2016,"Combined Heat and Power, Commercial Power",Natural Gas,"577,957"
2016,"Combined Heat and Power, Commercial Power",Other,"139,863"
2016,"Combined Heat and Power, Commercial Power",Petroleum,"2,160"
2016,"Combined Heat and Power, Commercial Power",Other Biomass,"145,573"
2016,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,136
2016,"Combined Heat and Power, Electric Power",Total,"14,326,924"
2016,"Combined Heat and Power, Electric Power",Coal,"444,632"
2016,"Combined Heat and Power, Electric Power",Natural Gas,"12,347,322"
2016,"Combined Heat and Power, Electric Power",Other Gases,"1,469,995"
2016,"Combined Heat and Power, Electric Power",Other,"39,584"
2016,"Combined Heat and Power, Electric Power",Petroleum,"2,786"
2016,"Combined Heat and Power, Electric Power",Other Biomass,"3,281"
2016,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"19,324"
2016,"Electric Generators, Independent Power Producers",Total,"17,619,977"
2016,"Electric Generators, Independent Power Producers",Coal,0
2016,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"106,038"
2016,"Electric Generators, Independent Power Producers",Natural Gas,"6,004,941"
2016,"Electric Generators, Independent Power Producers",Nuclear,"7,045,181"
2016,"Electric Generators, Independent Power Producers",Other,"91,651"
2016,"Electric Generators, Independent Power Producers",Petroleum,0
2016,"Electric Generators, Independent Power Producers",Other Biomass,"821,276"
2016,"Electric Generators, Independent Power Producers",Wind,"2,748,888"
2016,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"802,002"
2016,"Electric Generators, Electric Utilities",Total,"78,006,408"
2016,"Electric Generators, Electric Utilities",Coal,"39,988,445"
2016,"Electric Generators, Electric Utilities",Pumped Storage,"-751,650"
2016,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,432,762"
2016,"Electric Generators, Electric Utilities",Natural Gas,"10,049,701"
2016,"Electric Generators, Electric Utilities",Nuclear,"24,506,529"
2016,"Electric Generators, Electric Utilities",Other Gases,"144,627"
2016,"Electric Generators, Electric Utilities",Other,"11,051"
2016,"Electric Generators, Electric Utilities",Petroleum,"668,813"
2016,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"9,235"
2016,"Electric Generators, Electric Utilities",Wind,"1,946,895"
2016,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2017,Total Electric Power Industry,Total,"112,313,501"
2017,Total Electric Power Industry,Coal,"42,020,548"
2017,Total Electric Power Industry,Pumped Storage,"-674,759"
2017,Total Electric Power Industry,Hydroelectric Conventional,"1,678,957"
2017,Total Electric Power Industry,Natural Gas,"26,130,658"
2017,Total Electric Power Industry,Nuclear,"32,381,192"
2017,Total Electric Power Industry,Other Gases,"1,652,167"
2017,Total Electric Power Industry,Other,"259,533"
2017,Total Electric Power Industry,Petroleum,"1,116,511"
2017,Total Electric Power Industry,Solar Thermal and Photovoltaic,"63,304"
2017,Total Electric Power Industry,Other Biomass,"985,855"
2017,Total Electric Power Industry,Wind,"5,191,273"
2017,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,508,262"
2017,"Combined Heat and Power, Industrial Power",Total,"1,320,290"
2017,"Combined Heat and Power, Industrial Power",Coal,"46,136"
2017,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"28,986"
2017,"Combined Heat and Power, Industrial Power",Natural Gas,"427,550"
2017,"Combined Heat and Power, Industrial Power",Other,"16,108"
2017,"Combined Heat and Power, Industrial Power",Petroleum,"152,942"
2017,"Combined Heat and Power, Industrial Power",Other Biomass,"1,030"
2017,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"647,539"
2017,"Combined Heat and Power, Commercial Power",Total,"831,057"
2017,"Combined Heat and Power, Commercial Power",Coal,0
2017,"Combined Heat and Power, Commercial Power",Natural Gas,"564,075"
2017,"Combined Heat and Power, Commercial Power",Other,"129,234"
2017,"Combined Heat and Power, Commercial Power",Petroleum,"3,170"
2017,"Combined Heat and Power, Commercial Power",Other Biomass,"134,506"
2017,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,72
2017,"Combined Heat and Power, Electric Power",Total,"12,629,847"
2017,"Combined Heat and Power, Electric Power",Coal,"443,581"
2017,"Combined Heat and Power, Electric Power",Natural Gas,"10,636,899"
2017,"Combined Heat and Power, Electric Power",Other Gases,"1,503,607"
2017,"Combined Heat and Power, Electric Power",Other,"22,636"
2017,"Combined Heat and Power, Electric Power",Petroleum,0
2017,"Combined Heat and Power, Electric Power",Other Biomass,"2,440"
2017,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"20,685"
2017,"Electric Generators, Independent Power Producers",Total,"17,593,600"
2017,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"109,952"
2017,"Electric Generators, Independent Power Producers",Natural Gas,"6,251,631"
2017,"Electric Generators, Independent Power Producers",Nuclear,"6,097,496"
2017,"Electric Generators, Independent Power Producers",Other,"91,556"
2017,"Electric Generators, Independent Power Producers",Petroleum,0
2017,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,312
2017,"Electric Generators, Independent Power Producers",Other Biomass,"847,879"
2017,"Electric Generators, Independent Power Producers",Wind,"3,354,808"
2017,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"839,967"
2017,"Electric Generators, Electric Utilities",Total,"79,938,707"
2017,"Electric Generators, Electric Utilities",Coal,"41,530,832"
2017,"Electric Generators, Electric Utilities",Pumped Storage,"-674,759"
2017,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,540,019"
2017,"Electric Generators, Electric Utilities",Natural Gas,"8,250,504"
2017,"Electric Generators, Electric Utilities",Nuclear,"26,283,696"
2017,"Electric Generators, Electric Utilities",Other Gases,"148,559"
2017,"Electric Generators, Electric Utilities",Other,0
2017,"Electric Generators, Electric Utilities",Petroleum,"960,399"
2017,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"62,992"
2017,"Electric Generators, Electric Utilities",Wind,"1,836,465"
2017,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2018,Total Electric Power Industry,Total,"115,837,095"
2018,Total Electric Power Industry,Coal,"42,330,864"
2018,Total Electric Power Industry,Pumped Storage,"-698,455"
2018,Total Electric Power Industry,Hydroelectric Conventional,"1,569,199"
2018,Total Electric Power Industry,Natural Gas,"30,986,892"
2018,Total Electric Power Industry,Nuclear,"30,478,694"
2018,Total Electric Power Industry,Other Gases,"1,597,637"
2018,Total Electric Power Industry,Other,"252,312"
2018,Total Electric Power Industry,Petroleum,"1,213,512"
2018,Total Electric Power Industry,Solar Thermal and Photovoltaic,"118,153"
2018,Total Electric Power Industry,Other Biomass,"957,467"
2018,Total Electric Power Industry,Wind,"5,457,252"
2018,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,573,568"
2018,"Combined Heat and Power, Industrial Power",Total,"1,323,981"
2018,"Combined Heat and Power, Industrial Power",Coal,"73,443"
2018,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"9,706"
2018,"Combined Heat and Power, Industrial Power",Natural Gas,"423,019"
2018,"Combined Heat and Power, Industrial Power",Other,"18,388"
2018,"Combined Heat and Power, Industrial Power",Petroleum,"114,142"
2018,"Combined Heat and Power, Industrial Power",Other Biomass,"2,083"
2018,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"683,199"
2018,"Combined Heat and Power, Commercial Power",Total,"867,486"
2018,"Combined Heat and Power, Commercial Power",Coal,0
2018,"Combined Heat and Power, Commercial Power",Natural Gas,"611,744"
2018,"Combined Heat and Power, Commercial Power",Other,"122,311"
2018,"Combined Heat and Power, Commercial Power",Petroleum,"3,948"
2018,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"2,172"
2018,"Combined Heat and Power, Commercial Power",Other Biomass,"127,301"
2018,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,10
2018,"Combined Heat and Power, Electric Power",Total,"14,582,738"
2018,"Combined Heat and Power, Electric Power",Coal,"426,929"
2018,"Combined Heat and Power, Electric Power",Natural Gas,"12,657,702"
2018,"Combined Heat and Power, Electric Power",Other Gases,"1,446,619"
2018,"Combined Heat and Power, Electric Power",Other,"29,889"
2018,"Combined Heat and Power, Electric Power",Petroleum,0
2018,"Combined Heat and Power, Electric Power",Other Biomass,"2,961"
2018,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"18,637"
2018,"Electric Generators, Independent Power Producers",Total,"17,612,759"
2018,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"118,694"
2018,"Electric Generators, Independent Power Producers",Natural Gas,"6,801,786"
2018,"Electric Generators, Independent Power Producers",Nuclear,"5,455,940"
2018,"Electric Generators, Independent Power Producers",Other,"81,728"
2018,"Electric Generators, Independent Power Producers",Petroleum,0
2018,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"29,185"
2018,"Electric Generators, Independent Power Producers",Other Biomass,"825,122"
2018,"Electric Generators, Independent Power Producers",Wind,"3,428,583"
2018,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"871,721"
2018,"Electric Generators, Electric Utilities",Total,"81,450,131"
2018,"Electric Generators, Electric Utilities",Coal,"41,830,492"
2018,"Electric Generators, Electric Utilities",Pumped Storage,"-698,455"
2018,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,440,799"
2018,"Electric Generators, Electric Utilities",Natural Gas,"10,492,640"
2018,"Electric Generators, Electric Utilities",Nuclear,"25,022,754"
2018,"Electric Generators, Electric Utilities",Other Gases,"151,018"
2018,"Electric Generators, Electric Utilities",Other,-3
2018,"Electric Generators, Electric Utilities",Petroleum,"1,095,421"
2018,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"86,796"
2018,"Electric Generators, Electric Utilities",Wind,"2,028,669"
2018,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2019,Total Electric Power Industry,Total,"116,701,488"
2019,Total Electric Power Industry,Coal,"37,341,489"
2019,Total Electric Power Industry,Pumped Storage,"-696,488"
2019,Total Electric Power Industry,Hydroelectric Conventional,"1,649,789"
2019,Total Electric Power Industry,Natural Gas,"34,429,525"
2019,Total Electric Power Industry,Nuclear,"32,909,275"
2019,Total Electric Power Industry,Other Gases,"1,696,538"
2019,Total Electric Power Industry,Other,"173,102"
2019,Total Electric Power Industry,Petroleum,"915,188"
2019,Total Electric Power Industry,Solar Thermal and Photovoltaic,"142,961"
2019,Total Electric Power Industry,Other Biomass,"915,104"
2019,Total Electric Power Industry,Wind,"5,825,705"
2019,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,399,299"
2019,"Combined Heat and Power, Industrial Power",Total,"1,403,267"
2019,"Combined Heat and Power, Industrial Power",Coal,"17,818"
2019,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"9,629"
2019,"Combined Heat and Power, Industrial Power",Natural Gas,"599,402"
2019,"Combined Heat and Power, Industrial Power",Other,"20,900"
2019,"Combined Heat and Power, Industrial Power",Petroleum,"151,450"
2019,"Combined Heat and Power, Industrial Power",Other Biomass,"1,912"
2019,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"602,156"
2019,"Combined Heat and Power, Commercial Power",Total,"728,986"
2019,"Combined Heat and Power, Commercial Power",Coal,0
2019,"Combined Heat and Power, Commercial Power",Natural Gas,"604,404"
2019,"Combined Heat and Power, Commercial Power",Other,"67,270"
2019,"Combined Heat and Power, Commercial Power",Petroleum,"1,074"
2019,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"1,197"
2019,"Combined Heat and Power, Commercial Power",Other Biomass,"55,039"
2019,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,1
2019,"Combined Heat and Power, Electric Power",Total,"15,951,611"
2019,"Combined Heat and Power, Electric Power",Coal,"381,414"
2019,"Combined Heat and Power, Electric Power",Natural Gas,"13,994,761"
2019,"Combined Heat and Power, Electric Power",Other Gases,"1,542,941"
2019,"Combined Heat and Power, Electric Power",Other,"11,273"
2019,"Combined Heat and Power, Electric Power",Petroleum,0
2019,"Combined Heat and Power, Electric Power",Other Biomass,"5,320"
2019,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"15,902"
2019,"Electric Generators, Independent Power Producers",Total,"19,735,665"
2019,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"114,414"
2019,"Electric Generators, Independent Power Producers",Natural Gas,"7,480,316"
2019,"Electric Generators, Independent Power Producers",Nuclear,"6,865,167"
2019,"Electric Generators, Independent Power Producers",Other,"73,682"
2019,"Electric Generators, Independent Power Producers",Petroleum,0
2019,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"55,156"
2019,"Electric Generators, Independent Power Producers",Other Biomass,"852,834"
2019,"Electric Generators, Independent Power Producers",Wind,"3,512,856"
2019,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"781,240"
2019,"Electric Generators, Electric Utilities",Total,"78,881,960"
2019,"Electric Generators, Electric Utilities",Coal,"36,942,257"
2019,"Electric Generators, Electric Utilities",Pumped Storage,"-696,488"
2019,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,525,746"
2019,"Electric Generators, Electric Utilities",Natural Gas,"11,750,643"
2019,"Electric Generators, Electric Utilities",Nuclear,"26,044,108"
2019,"Electric Generators, Electric Utilities",Other Gases,"153,596"
2019,"Electric Generators, Electric Utilities",Other,-24
2019,"Electric Generators, Electric Utilities",Petroleum,"762,664"
2019,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"86,608"
2019,"Electric Generators, Electric Utilities",Wind,"2,312,849"
2019,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2020,Total Electric Power Industry,Total,"106,624,721"
2020,Total Electric Power Industry,Coal,"27,961,029"
2020,Total Electric Power Industry,Pumped Storage,"-845,480"
2020,Total Electric Power Industry,Hydroelectric Conventional,"1,713,341"
2020,Total Electric Power Industry,Natural Gas,"36,433,839"
2020,Total Electric Power Industry,Nuclear,"30,332,546"
2020,Total Electric Power Industry,Other Gases,"968,649"
2020,Total Electric Power Industry,Other,"135,321"
2020,Total Electric Power Industry,Petroleum,"933,672"
2020,Total Electric Power Industry,Solar Thermal and Photovoltaic,"155,168"
2020,Total Electric Power Industry,Other Biomass,"982,225"
2020,Total Electric Power Industry,Wind,"6,735,092"
2020,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,119,318"
2020,"Combined Heat and Power, Industrial Power",Total,"1,154,054"
2020,"Combined Heat and Power, Industrial Power",Coal,"1,658"
2020,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"9,189"
2020,"Combined Heat and Power, Industrial Power",Natural Gas,"416,952"
2020,"Combined Heat and Power, Industrial Power",Other,"14,782"
2020,"Combined Heat and Power, Industrial Power",Petroleum,"164,956"
2020,"Combined Heat and Power, Industrial Power",Other Biomass,"2,768"
2020,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"543,749"
2020,"Combined Heat and Power, Commercial Power",Total,"662,180"
2020,"Combined Heat and Power, Commercial Power",Coal,0
2020,"Combined Heat and Power, Commercial Power",Natural Gas,"559,937"
2020,"Combined Heat and Power, Commercial Power",Other,"55,082"
2020,"Combined Heat and Power, Commercial Power",Petroleum,"1,396"
2020,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,697
2020,"Combined Heat and Power, Commercial Power",Other Biomass,"45,068"
2020,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2020,"Combined Heat and Power, Electric Power",Total,"16,361,003"
2020,"Combined Heat and Power, Electric Power",Coal,"370,465"
2020,"Combined Heat and Power, Electric Power",Natural Gas,"15,024,406"
2020,"Combined Heat and Power, Electric Power",Other Gases,"923,417"
2020,"Combined Heat and Power, Electric Power",Other,"2,885"
2020,"Combined Heat and Power, Electric Power",Petroleum,0
2020,"Combined Heat and Power, Electric Power",Other Biomass,"10,714"
2020,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"29,117"
2020,"Electric Generators, Independent Power Producers",Total,"18,626,790"
2020,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"90,046"
2020,"Electric Generators, Independent Power Producers",Natural Gas,"7,285,060"
2020,"Electric Generators, Independent Power Producers",Nuclear,"5,995,123"
2020,"Electric Generators, Independent Power Producers",Other,"62,651"
2020,"Electric Generators, Independent Power Producers",Petroleum,0
2020,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"65,464"
2020,"Electric Generators, Independent Power Producers",Other Biomass,"923,676"
2020,"Electric Generators, Independent Power Producers",Wind,"3,658,318"
2020,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"546,452"
2020,"Electric Generators, Electric Utilities",Total,"69,820,694"
2020,"Electric Generators, Electric Utilities",Coal,"27,588,907"
2020,"Electric Generators, Electric Utilities",Pumped Storage,"-845,480"
2020,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,614,106"
2020,"Electric Generators, Electric Utilities",Natural Gas,"13,147,485"
2020,"Electric Generators, Electric Utilities",Nuclear,"24,337,423"
2020,"Electric Generators, Electric Utilities",Other Gases,"45,232"
2020,"Electric Generators, Electric Utilities",Other,-79
2020,"Electric Generators, Electric Utilities",Petroleum,"767,319"
2020,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"89,007"
2020,"Electric Generators, Electric Utilities",Wind,"3,076,774"
